line_value	line_code	prod_value	prod_code	month_value	month_code	mask_value	mask_code	lot_value	lot_code	
0	W	0	0	0	A	1	A	0	0	
1	X	1	1	1	B	2	B	1	1	
2	Y	2	2	2	C	3	C	2	2	
3	Z	3	3	3	D	4	D	3	3	
4	4	4	4	4	E	5	E	4	4	
5	5	5	5	5	F	6	F	5	5	
6	6	6	6	6	G	7	G	6	6	
7	7	7	7	7	H	8	H	7	7	
8	8	8	8	8	I	9	I	8	8	
9	9	9	9	9	J	10	J	9	9	
10	A	10	A	10	K	11	K	10	A	
11	B	11	B	11	L	12	L	11	B	
12	C	12	C	12	M	13	M	12	C	
13	D	13	D	13	N	14	N	13	D	
14	E	14	E	14	O	15	O	14	E	
15	F	15	F	15	P	16	P	15	F	
16	G	16	G	16	Q	17	Q	16	G	
17	H	17	H	17	R	18	R	17	H	
18	I	18	I	18	S	19	S	18	I	
19	J	19	J	19	T	20	T	19	J	
20	K	20	K	20	U	21	U	20	K	
21	L	21	L	21	V	22	V	21	L	
22	M	22	M	22	W	23	W	22	M	
23	N	23	N	23	X	24	X	23	N	
24	O	24	O	24	Y	25	Y	24	O	
25	P	25	P	25	Z	26	Z	25	P	
26	Q	26	Q					26	Q	
27	R	27	R					27	R	
28	S	28	S					28	S	
29	T	29	T					29	T	
30	U	30	U					30	U	
31	V	31	V					31	V	
		32	W					32	W	
		33	X					33	X	
		34	Y					34	Y	
		35	Z					35	Z	
