IDX	LABEL	PC	UI	CLKT	CS0	CS1	CA	WCKT	RDQS0	RDQS1	DMI0	DMI1	DATAe	DATAo	CLK_cnt	CMD	BANK	ROW	COLA	MR_VAL	ETC	Data
9A0	LA1	119	1	0	1	0	0000111_	10_	00_	00_	00_	00_	0x0000	0x0000	616	ACT-1	-	-	-	-	-	-
9A1	-	119	2	0	1	0	0000111_	10_	00_	00_	00_	00_	0x0000	0x0000	616	ACT-1	-	-	-	-	-	-
9A2	-	119	3	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	616	ACT-1	A0	-	-	-	-	-
9A3	-	119	4	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	616	ACT-1	A0	-	-	-	-	-
9A4	-	119	5	0	1	0	0000011_	10_	00_	00_	00_	00_	0x0000	0x0000	617	ACT-2	A0	-	-	-	-	-
9A5	-	119	6	0	1	0	0000011_	10_	00_	00_	00_	00_	0x0000	0x0000	617	ACT-2	A0	-	-	-	-	-
9A6	-	119	7	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	617	ACT-2	A0	0x0	-	-	-	-
9A7	-	119	8	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	617	ACT-2	A0	0x0	-	-	-	-
9A8	-	119	9	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	618	DES	-	-	-	-	-	-
9A9	-	119	10	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	618	DES	-	-	-	-	-	-
9AA	-	119	11	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	618	DES	-	-	-	-	-	-
9AB	-	119	12	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	618	DES	-	-	-	-	-	-
9AC	-	119	13	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	619	DES	-	-	-	-	-	-
9AD	-	119	14	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	619	DES	-	-	-	-	-	-
9AE	-	119	15	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	619	DES	-	-	-	-	-	-
9AF	-	119	16	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	619	DES	-	-	-	-	-	-
9B0	-	11A	1	0	1	0	0011111_	10_	00_	00_	00_	00_	0x0000	0x0000	620	ACT-1	-	-	-	-	-	-
9B1	-	11A	2	0	1	0	0011111_	10_	00_	00_	00_	00_	0x0000	0x0000	620	ACT-1	-	-	-	-	-	-
9B2	-	11A	3	1	0	0	1110100_	10_	00_	00_	00_	00_	0x0000	0x0000	620	ACT-1	A1	-	-	-	-	-
9B3	-	11A	4	1	0	0	1110100_	10_	00_	00_	00_	00_	0x0000	0x0000	620	ACT-1	A1	-	-	-	-	-
9B4	-	11A	5	0	1	0	1111011_	10_	00_	00_	00_	00_	0x0000	0x0000	621	ACT-2	A1	-	-	-	-	-
9B5	-	11A	6	0	1	0	1111011_	10_	00_	00_	00_	00_	0x0000	0x0000	621	ACT-2	A1	-	-	-	-	-
9B6	-	11A	7	1	0	0	1111111_	10_	00_	00_	00_	00_	0x0000	0x0000	621	ACT-2	A1	0xffff	-	-	-	-
9B7	-	11A	8	1	0	0	1111111_	10_	00_	00_	00_	00_	0x0000	0x0000	621	ACT-2	A1	0xffff	-	-	-	-
9B8	-	11A	9	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	622	DES	-	-	-	-	-	-
9B9	-	11A	10	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	622	DES	-	-	-	-	-	-
9BA	-	11A	11	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	622	DES	-	-	-	-	-	-
9BB	-	11A	12	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	622	DES	-	-	-	-	-	-
9BC	-	11A	13	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	623	DES	-	-	-	-	-	-
9BD	-	11A	14	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	623	DES	-	-	-	-	-	-
9BE	-	11A	15	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	623	DES	-	-	-	-	-	-
9BF	-	11A	16	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	623	DES	-	-	-	-	-	-
9C0	-	11B	1	0	1	0	0000111_	10_	00_	00_	00_	00_	0x0000	0x0000	624	ACT-1	-	-	-	-	-	-
9C1	-	11B	2	0	1	0	0000111_	10_	00_	00_	00_	00_	0x0000	0x0000	624	ACT-1	-	-	-	-	-	-
9C2	-	11B	3	1	0	0	0001000_	10_	00_	00_	00_	00_	0x0000	0x0000	624	ACT-1	A2	-	-	-	-	-
9C3	-	11B	4	1	0	0	0001000_	10_	00_	00_	00_	00_	0x0000	0x0000	624	ACT-1	A2	-	-	-	-	-
9C4	-	11B	5	0	1	0	0000011_	10_	00_	00_	00_	00_	0x0000	0x0000	625	ACT-2	A2	-	-	-	-	-
9C5	-	11B	6	0	1	0	0000011_	10_	00_	00_	00_	00_	0x0000	0x0000	625	ACT-2	A2	-	-	-	-	-
9C6	-	11B	7	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	625	ACT-2	A2	0x0	-	-	-	-
9C7	-	11B	8	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	625	ACT-2	A2	0x0	-	-	-	-
9C8	-	11B	9	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	626	DES	-	-	-	-	-	-
9C9	-	11B	10	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	626	DES	-	-	-	-	-	-
9CA	-	11B	11	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	626	DES	-	-	-	-	-	-
9CB	-	11B	12	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	626	DES	-	-	-	-	-	-
9CC	-	11B	13	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	627	DES	-	-	-	-	-	-
9CD	-	11B	14	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	627	DES	-	-	-	-	-	-
9CE	-	11B	15	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	627	DES	-	-	-	-	-	-
9CF	-	11B	16	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	627	DES	-	-	-	-	-	-
9D0	-	11C	1	0	1	0	0011111_	10_	00_	00_	00_	00_	0x0000	0x0000	628	ACT-1	-	-	-	-	-	-
9D1	-	11C	2	0	1	0	0011111_	10_	00_	00_	00_	00_	0x0000	0x0000	628	ACT-1	-	-	-	-	-	-
9D2	-	11C	3	1	0	0	1111100_	10_	00_	00_	00_	00_	0x0000	0x0000	628	ACT-1	A3	-	-	-	-	-
9D3	-	11C	4	1	0	0	1111100_	10_	00_	00_	00_	00_	0x0000	0x0000	628	ACT-1	A3	-	-	-	-	-
9D4	-	11C	5	0	1	0	1111011_	10_	00_	00_	00_	00_	0x0000	0x0000	629	ACT-2	A3	-	-	-	-	-
9D5	-	11C	6	0	1	0	1111011_	10_	00_	00_	00_	00_	0x0000	0x0000	629	ACT-2	A3	-	-	-	-	-
9D6	-	11C	7	1	0	0	1111111_	10_	00_	00_	00_	00_	0x0000	0x0000	629	ACT-2	A3	0xffff	-	-	-	-
9D7	-	11C	8	1	0	0	1111111_	10_	00_	00_	00_	00_	0x0000	0x0000	629	ACT-2	A3	0xffff	-	-	-	-
9D8	-	11C	9	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	630	DES	-	-	-	-	-	-
9D9	-	11C	10	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	630	DES	-	-	-	-	-	-
9DA	-	11C	11	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	630	DES	-	-	-	-	-	-
9DB	-	11C	12	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	630	DES	-	-	-	-	-	-
9DC	-	11C	13	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	631	DES	-	-	-	-	-	-
9DD	-	11C	14	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	631	DES	-	-	-	-	-	-
9DE	-	11C	15	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	631	DES	-	-	-	-	-	-
9DF	-	11C	16	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	631	DES	-	-	-	-	-	-
9.00E+00	-	11D	1	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	632	DES	-	-	-	-	-	-
9.00E+01	-	11D	2	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	632	DES	-	-	-	-	-	-
9.00E+02	-	11D	3	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	632	DES	-	-	-	-	-	-
9.00E+03	-	11D	4	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	632	DES	-	-	-	-	-	-
9.00E+04	-	11D	5	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	633	DES	-	-	-	-	-	-
9.00E+05	-	11D	6	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	633	DES	-	-	-	-	-	-
