x	y	radius	distance_x	distance_y	zone	edge
12	47	-0.985072261	-132000	-9963.43	E1	1
12	48	-0.982520571	-132000	-2933.33	E1	1
12	49	-0.982751033	-132000	4096.76	E1	1
12	50	-0.985761696	-132000	11126.86	E1	1
13	43	-0.980472259	-126133.33	-38083.82	E1	1
13	44	-0.966649231	-126133.33	-31053.72	E1	1
13	45	-0.955494233	-126133.33	-24023.62	E1	1
13	46	-0.947101541	-126133.33	-16993.53	E1	1
13	47	-0.941545025	-126133.33	-9963.43	E20	2
13	48	-0.938875044	-126133.33	-2933.33	E20	2
13	49	-0.939116218	-126133.33	4096.76	E20	2
13	50	-0.94226631	-126133.33	11126.86	E20	2
13	51	-0.948296332	-126133.33	18156.96	E1	1
13	52	-0.957151857	-126133.33	25187.05	E1	1
13	53	-0.968755401	-126133.33	32217.15	E1	1
13	54	-0.983009656	-126133.33	39247.25	E1	1
14	41	-0.975463178	-120266.67	-52144.01	E1	1
14	42	-0.95585882	-120266.67	-45113.91	E1	1
14	43	-0.938763741	-120266.67	-38083.82	E20	2
14	44	-0.924317179	-120266.67	-31053.72	E20	2
14	45	-0.912644914	-120266.67	-24023.62	E20	2
14	46	-0.903854435	-120266.67	-16993.53	E20	2
14	47	-0.89803037	-120266.67	-9963.43	E20	3
14	48	-0.895230618	-120266.67	-2933.33	E20	3
14	49	-0.895483546	-120266.67	4096.76	E20	3
14	50	-0.898786576	-120266.67	11126.86	E20	3
14	51	-0.905106317	-120266.67	18156.96	E20	2
14	52	-0.91438022	-120266.67	25187.05	E20	2
14	53	-0.926519583	-120266.67	32217.15	E20	2
14	54	-0.941413562	-120266.67	39247.25	E20	2
14	55	-0.958933813	-120266.67	46277.34	E1	1
14	56	-0.978939339	-120266.67	53307.44	E1	1
15	40	-0.958450672	-114400	-59174.11	E1	1
15	41	-0.935570283	-114400	-52144.01	E20	2
15	42	-0.915111701	-114400	-45113.91	E20	2
15	43	-0.897240605	-114400	-38083.82	E20	3
15	44	-0.882114272	-114400	-31053.72	E20	3
15	45	-0.8698759	-114400	-24023.62	E20	3
15	46	-0.860648698	-114400	-16993.53	E20	3
15	47	-0.854530215	-114400	-9963.43	E20	4
15	48	-0.85158746	-114400	-2933.33	E20	4
15	49	-0.851853346	-114400	4096.76	E20	4
15	50	-0.855324881	-114400	11126.86	E20	4
15	51	-0.861963333	-114400	18156.96	E20	3
15	52	-0.871696352	-114400	25187.05	E20	3
15	53	-0.884421777	-114400	32217.15	E20	3
15	54	-0.900012687	-114400	39247.25	E20	3
15	55	-0.918323146	-114400	46277.34	E20	2
15	56	-0.939194108	-114400	53307.44	E20	2
15	57	-0.962459012	-114400	60337.54	E1	1
16	38	-0.974317997	-108533.33	-73234.3	E1	1
16	39	-0.946050955	-108533.33	-66204.2	E1	1
16	40	-0.919892855	-108533.33	-59174.11	E20	2
16	41	-0.89602842	-108533.33	-52144.01	E20	3
16	42	-0.874645414	-108533.33	-45113.91	E20	3
16	43	-0.855929833	-108533.33	-38083.82	E20	4
16	44	-0.840059977	-108533.33	-31053.72	E20	4
16	45	-0.827199647	-108533.33	-24023.62	C80	4
16	46	-0.817490891	-108533.33	-16993.53	C80	4
16	47	-0.811046893	-108533.33	-9963.43	C80	5
16	48	-0.807945776	-108533.33	-2933.33	C80	5
16	49	-0.808226019	-108533.33	4096.76	C80	5
16	50	-0.811884122	-108533.33	11126.86	C80	5
16	51	-0.818874815	-108533.33	18156.96	C80	4
16	52	-0.829113807	-108533.33	25187.05	C80	4
16	53	-0.842482673	-108533.33	32217.15	E20	4
16	54	-0.858835265	-108533.33	39247.25	E20	4
16	55	-0.878004884	-108533.33	46277.34	E20	3
16	56	-0.899811506	-108533.33	53307.44	E20	3
16	57	-0.924068463	-108533.33	60337.54	E20	2
16	58	-0.950588192	-108533.33	67367.63	E1	1
16	59	-0.979186858	-108533.33	74397.73	E1	1
17	37	-0.96976251	-102666.67	-80264.4	E1	1
17	38	-0.938446892	-102666.67	-73234.3	E20	2
17	39	-0.909065134	-102666.67	-66204.2	E20	2
17	40	-0.881810566	-102666.67	-59174.11	E20	3
17	41	-0.856886188	-102666.67	-52144.01	E20	4
17	42	-0.834500815	-102666.67	-45113.91	E20	4
17	43	-0.814863724	-102666.67	-38083.82	C80	5
17	44	-0.798177783	-102666.67	-31053.72	C80	5
17	45	-0.784631293	-102666.67	-24023.62	C80	5
17	46	-0.774389027	-102666.67	-16993.53	C80	5
17	47	-0.767583268	-102666.67	-9963.43	C80	6
17	48	-0.76430582	-102666.67	-2933.33	C80	6
17	49	-0.764602058	-102666.67	4096.76	C80	6
17	50	-0.76846785	-102666.67	11126.86	C80	6
17	51	-0.775849838	-102666.67	18156.96	C80	5
17	52	-0.786649041	-102666.67	25187.05	C80	5
17	53	-0.800727209	-102666.67	32217.15	C80	5
17	54	-0.817915045	-102666.67	39247.25	C80	5
