DO	HB	HTEMP	tPD_F	tPD	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	run	wf	x	y	lot	test
1	2	124	64.58	61.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	16	21	73	EUO2949JO2	0
2	2	125	62.46	61.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	16	21	76	EUO2949JO2	0
1	2	125	62.46	62.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	23	14	79	EUO2949JO2	0
2	2	125	61.58	60.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	23	14	77	EUO2949JO2	0
1	2	125	63.71	60.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO416	11	52	67	EUO2949JO2	0
2	2	124	63.33	62.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO416	11	52	65	EUO2949JO2	0
1	6	127	61.58	59.83	851	852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO416	11	54	76	EUO2949JO2	0
2	6	128	61.58	60.71	3001	3001	3002	3002	3003	3003	3004	3004	3009	3022	3022	3023	3023	3024	3024	3025	3025	3030	3030	3033	EUO416	11	54	75	EUO2949JO2	0
1	6	126	60.71	61.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	23	16	60	EUO2949JO2	0
2	6	124	63.71	60.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	23	16	58	EUO2949JO2	0
1	6	126	64.58	60.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	23	17	72	EUO2949JO2	0
2	6	126	65.46	62.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	23	17	74	EUO2949JO2	0
1	6	127	61.08	59.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	23	22	107	EUO2949JO2	0
