DO	FU	HB	CB	NB	DU	SG	HTEMP	tPD	V185	V186	V187	V188	V189	V190	V191	V192	V193	V194	V195	V196	V197	V198	V199	V200	V201	V202	V203	V204	V205	V206	V207	V208	cycle	run	wf	x	y	mask	line	part	lot	step	test_model	tester	test	V209	V210	V211	V212	V213	V214	V215	V216	V217	V218	V219	V220	V221	V222	V223
1	R	6	N	0	1	x08A44D4028003999	-20:0	66.39	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH005	10	19	41	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
2	R	6	N	0	1	x08EC56C028003999	-25:0	70.88	NRT	0	0	853	854	855	876	891	893	894	927	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH005	22	21	59	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
3	R	6	N	0	1	x08A0514028003999	-25:0	66.82	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH005	10	20	40	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
4	R	6	N	3088	1	x08D446C028003999	-28:0	70.49	NRT	3088	3089	4000	4001	4002	4003	4004	4005	4007	4008	4013	4014	4015	4016	4017	4018	500000	500000	880000	880000	8a0000	50000000	0	1	PCH005	22	17	53	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
1	R	6	N	0	2	x08A04D6038003999	-24:0	71.68	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH007	11	19	40	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
2	R	6	N	0	2	x08DC5A4028003999	-25:0	66.28	NRT	0	0	4284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1a00	0	0	0	0	1	PCH005	18	22	55	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
3	R	6	N	1357	2	x0890616038003999	-26:0	72.04	NRT	1357	1057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ff0000	ff0000	0	0	0	ff000000	0	1	PCH007	11	24	36	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
4	R	6	N	0	2	x08D4564028003999	-29:0	64.7	NRT	0	0	4284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1a00	0	0	0	0	1	PCH005	18	21	53	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
1	R	6	N	0	3	x08A0554038003999	-25:0	64.59	NRT	0	0	4284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4000	0	0	0	0	1	PCH007	10	21	40	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
2	R	6	N	4219	3	x088C79A028003999	-25:0	72.31	NRT	4219	4219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10f000	20f000	0	0	0	10f00000	20f00000	1	PCH005	13	30	35	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
