IDX   LABEL PC UI CLKT   CS0   CS1   CA WCKT RDQST   DMI0 DMI1 DATAe DATAo 
000001          -     1  0 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000001          -     1  1 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000001          -     1  2 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000001          -     1  3 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000001          -     1  4 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000001          -     1  5 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000001          -     1  6 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000001          -     1  7 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000001          -     1  8 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000001          -     1  9 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000001          -     1 10 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000001          -     1 11 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000001          -     1 12 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000001          -     1 13 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000001          -     1 14 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000001          -     1 15 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000002          -     1  0 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000002          -     1  1 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000002          -     1  2 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000002          -     1  3 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000002          -     1  4 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000002          -     1  5 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000002          -     1  6 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000002          -     1  7 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000002          -     1  8 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000002          -     1  9 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000002          -     1 10 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000002          -     1 11 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000002          -     1 12 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000002          -     1 13 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000002          -     1 14 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000002          -     1 15 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000003          -     1  0 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000003          -     1  1 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000003          -     1  2 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000003          -     1  3 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000003          -     1  4 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000003          -     1  5 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000003          -     1  6 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000003          -     1  7 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000003          -     1  8 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000003          -     1  9 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000003          -     1 10 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000003          -     1 11 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000003          -     1 12 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000003          -     1 13 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000003          -     1 14 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000003          -     1 15 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000004          -     1  0 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000004          -     1  1 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000004          -     1  2 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000004          -     1  3 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000004          -     1  4 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000004          -     1  5 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000004          -     1  6 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000004          -     1  7 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000004          -     1  8 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000004          -     1  9 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000004          -     1 10 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000004          -     1 11 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000004          -     1 12 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000004          -     1 13 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000004          -     1 14 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000004          -     1 15 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000005          -     1  0 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000005          -     1  1 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000005          -     1  2 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000005          -     1  3 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000005          -     1  4 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000005          -     1  5 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000005          -     1  6 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000005          -     1  7 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000005          -     1  8 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000005          -     1  9 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000005          -     1 10 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000005          -     1 11 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000005          -     1 12 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000005          -     1 13 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000005          -     1 14 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000005          -     1 15 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000006          -     1  0 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000006          -     1  1 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000006          -     1  2 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000006          -     1  3 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000006          -     1  4 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000006          -     1  5 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
