name	ifs	code	fusing	type
TMRSF_LP5X	3396	x0x6c01b1	PKG	PKG_FUSE
TMRSF_ABRSKEW_DN	3662	x0x684131		PKG_FUSE
TMRSF_PDL_M2_0B	3606	x0x6c31f0	PKG	PKG_FUSE
TMRSF_FRPD_DQ_X16_M1_0B	4044	x0x6c91b1		PKG_FUSE
TMRSF_FRPD_DQ_X16_M1_1B	5126	x0x8c81f1		PKG_FUSE
TMRSF_FRPD_DQ_X16_P1_1B	5270	x0x8ca1f1	PKG	PKG_FUSE
TMRSF_PDL_M2_1B	5549	x0x8ce1d0	PKG	PKG_FUSE
TMRSF_PDL_P1_0B	3750	x0x6c51f0	PKG	PKG_FUSE
TMRSF_PDL_M1_0B	3894	x0x6c71f0	PKG	PKG_FUSE
TMRSF_PDL_P1_1B	4810	x0x8841b0	PKG	PKG_FUSE
TMRSF_PDL_M1_1B	5386	x0x88c1b0	PKG	PKG_FUSE
TMRSF_FRPD_DQ_X16_P1_0B	4045	x0x6c91d1	PKG	PKG_FUSE
TMRSF_PDL_M2_0B_DM	4322	x0x6cd170	PKG	PKG_FUSE
TMRSF_PDL_M2_1B_DM	5405	x0x8cc1d0	PKG	PKG_FUSE
TMRSF_PDL_P1_1B_DM	4539	x0x8c0190	PKG	PKG_FUSE
TMRSF_PDL_M1_1B_DM	5116	x0x8c81b0	PKG	PKG_FUSE
TMRSF_PDL_P1_0B_DM	4324	x0x6cd1b0	PKG	PKG_FUSE
TMRSF_PDL_M1_0B_DM	4036	x0x6c91b0	PKG	PKG_FUSE
TMRSF_RDBI_AC_FREQ_CTRL1	4739	x0x8831d0	PKG	PKG_FUSE
TMRSF_RDBI_AC_FREQ_CTRL2	5315	x0x88b1d0	PKG	PKG_FUSE
TMRSF_RFM_ON	3801	x0x686190	PKG	PKG_FUSE
TMRSF_RAAIMT_MULT1	4235	x0x68c1d0	PKG	PKG_FUSE
TMRSF_RAAIMT_MULT0	4379	x0x68e1d0	PKG	PKG_FUSE
TMRSF_RAAIMT_INIT4	3369	x0x680190		PKG_FUSE
TMRSF_RAAIMT_INIT3	3947	x0x6881d0	PKG	PKG_FUSE
TMRSF_PPR_EN	3970	x0x6c8171	PKG	PKG_FUSE
TMRSF_PPR_EN_L	1595	x0x2c7191	PKG	PKG_FUSE
TMRSF_SIVC_PWRUP_CTRL_OFF	4859	x0x845110	PKG	PKG_FUSE
TMRSF_WCK_BIAS_VREF_DN0_0B	3461	x0x6c11d0	PKG	PKG_FUSE
TMRSF_WCK_BIAS_VREF_DN0_1B	4542	x0x8c01f0	PKG	PKG_FUSE
TMRSF_ZQUF_RESET_DISABLE	3371	x0x6801d0		PKG_FUSE
TMRSF_OSCEXT2	4283	x0x64d110	PKG	PKG_FUSE
TMRSF_WCK_BIAS_VREF_DN2_0B	3605	x0x6c31d0		PKG_FUSE
TMRSF_WCK_BIAS_VREF_DN2_1B	4686	x0x8c21f0		PKG_FUSE
TMRSF_PREAMP_BUF_CURRENT_UP9	2169	x0x2cf151	PKG	PKG_FUSE
TMRSF_PREAMP_BUF_CURRENT_UP9_1B	4699	x0x803150	PKG	PKG_FUSE
TMRSF_CURRENT_DIV1_L	1159	x0x2c1111	PKG	PKG_FUSE
TMRSF_CURRENT_DIV1_R	4556	x0x801170	PKG	PKG_FUSE
TMRSF_PCURRENT_BUF0_0B	3614	x0x6c31f1		PKG_FUSE
TMRSF_PCURRENT_BUF0_R	4700	x0x803170		PKG_FUSE
TMRSF_PCURRENT_BUF1_0B	3470	x0x6c11f1		PKG_FUSE
TMRSF_PCURRENT_BUF1_R	5276	x0x80b170		PKG_FUSE
TMRSF_CURRENT_UP11_L	3466	x0x6c1171		PKG_FUSE
TMRSF_CURRENT_UP11_R	4989	x0x807190		PKG_FUSE
TMRSF_CURRENT_UP12_L	4184	x0x6cb131		PKG_FUSE
TMRSF_CURRENT_UP12_R	5565	x0x80f190		PKG_FUSE
TMRSF_RD_C2C_PREAMP_CUR_UP_0B	4103	x0x6ca110		PKG_FUSE
TMRSF_RD_C2C_PREAMP_CUR_UP_1B	4738	x0x8831b0		PKG_FUSE
TMRSF_WR_C2C_PREAMP_CUR_UP1_0B	3463	x0x6c1111		PKG_FUSE
TMRSF_WR_C2C_PREAMP_CUR_UP1_1B	5419	x0x80d150		PKG_FUSE
TMRSF_C2C_PREAMP_DUTY_UP1_0B	4327	x0x6cd111		PKG_FUSE
TMRSF_RD_C2C_PREAMP_DUTY_UP1_1B	4734	x0x883130		PKG_FUSE
TMRSF_EQL_EN_0B	3822	x0x6c61f0	PKG	PKG_FUSE
TMRSF_EQL_EN_1B	5316	x0x88b1f0	PKG	PKG_FUSE
TMRSF_DEEMP_RL_ON_0B	3589	x0x683111		PKG_FUSE
TMRSF_DEEMP_RL_ON_1B	4673	x0x882191		PKG_FUSE
TMRSF_DS_BUF_CURRENT_UP1_0B_L	4183	x0x6cb111		PKG_FUSE
TMRSF_DS_BUF_CURRENT_UP1_R	4844	x0x805170		PKG_FUSE
TMRSF_DS_BUF_CURRENT_UP2_0B_L	4416	x0x60f1f0		PKG_FUSE
TMRSF_DS_BUF_CURRENT_UP2_R	5514	x0x84e1f0		PKG_FUSE
TMRSF_EQL_EN_5818	4087	x0x68a150	PKG	PKG_FUSE
TMRSF_WR_C2C_PREAMP0_CUR_UP_0B	3748	x0x6c51b0		PKG_FUSE
TMRSF_WR_C2C_PREAMP0_CUR_UP_1B	5275	x0x80b150		PKG_FUSE
TMRSF_FRP_DIS_DLY_F_G0_P2	5608	x0x88f171	PKG	PKG_FUSE
TMRSF_FRP_DIS_DLY_F_G1_P2	5320	x0x88b171	PKG	PKG_FUSE
TMRSF_RDREP_CEN_ON_M2_G3	1530	x0x207130	PKG	PKG_FUSE
TMRSF_RDREP_CEN_ON_M2_G0	1466	x0x206131	PKG	PKG_FUSE
TMRSF_FRPD_ERR_M1_G0_AC	1934	x0x28c131	PKG	PKG_FUSE
TMRSF_FRPD_ERR_M1_G3_AC	1998	x0x28d130	PKG	PKG_FUSE
TMRSF_FRPD_ERR_M1_G0_BD	2078	x0x28e131	PKG	PKG_FUSE
TMRSF_FRPD_ERR_M1_G3_BD	2142	x0x28f130	PKG	PKG_FUSE
TMRSF_FRPD_ERR_M1_G2_AC	3096	x0x4cc130	PKG	PKG_FUSE
TMRSF_FRPD_ERR_M1_G1_AC	3158	x0x48d131	PKG	PKG_FUSE
TMRSF_FRPD_ERR_M1_G2_BD	3240	x0x4ce130	PKG	PKG_FUSE
TMRSF_FRPD_ERR_M1_G1_BD	3302	x0x48f131	PKG	PKG_FUSE
TMRSF_RCSLEN_DLY_F_G3_M1	4064	x0x60a1f1	PKG	PKG_FUSE
TMRSF_RCSL_DIS_DLY_F_G1_P2	5483	x0x8cd191	PKG	PKG_FUSE
TMRSF_FRPD_F_M2_G3_AC_0B	1128	x0x2411b1	PKG	PKG_FUSE
TMRSF_FRPD_F_M2_G3_AC_1B	1398	x0x2051b1	PKG	PKG_FUSE
TMRSF_FRPD_F_M2_G3_BD_0B	1385	x0x205110	PKG	PKG_FUSE
TMRSF_FRPD_F_M2_G3_BD_1B	1992	x0x24d1b1	PKG	PKG_FUSE
TMRSF_FRPD_S_M2_G3_AC_0B	1529	x0x207110	PKG	PKG_FUSE
TMRSF_FRPD_S_M2_G3_AC_1B	2136	x0x24f1b1	PKG	PKG_FUSE
TMRSF_FRPD_S_M2_G3_BD_0B	1241	x0x203110	PKG	PKG_FUSE
TMRSF_FRPD_S_M2_G3_BD_1B	1848	x0x24b1b1	PKG	PKG_FUSE
TMRSF_FRPD_F_M2_G0_AC_0B	1065	x0x280190	PKG	PKG_FUSE
TMRSF_FRPD_F_M2_G0_AC_1B	1127	x0x241191	PKG	PKG_FUSE
TMRSF_FRPD_F_M2_G0_BD_0B	1321	x0x204111	PKG	PKG_FUSE
TMRSF_FRPD_F_M2_G0_BD_1B	1353	x0x284190	PKG	PKG_FUSE
TMRSF_FRPD_S_M2_G0_AC_0B	1465	x0x206111	PKG	PKG_FUSE
TMRSF_FRPD_S_M2_G0_AC_1B	1497	x0x286190	PKG	PKG_FUSE
TMRSF_FRPD_S_M2_G0_BD_0B	1177	x0x202111	PKG	PKG_FUSE
TMRSF_FRPD_S_M2_G0_BD_1B	1209	x0x282190	PKG	PKG_FUSE
