ITEM	PATN	condition1	STEP	TN	condition2
C2Cs_x7BDE	B8CM8	tPause	H	3006	40ms
C2Cs_x7BDE	B8CM8	tPause	H	3016	48ms
C2Cs_x7BDE	B8CM8	tPause	H	3026	56ms
FADJ_D0	BCXLE	TBD	H/C	1387	x7BDE
FADJ_D0	BCXLH	TMRS	H/C	1389	x7BDE+TMRS
FADJ_D1	BCXLD	TBD	H/C	1386	x1248
FADJ_D1	BCXLG	TMRS	H/C	1388	x1248+TMRS
fPRISM_ORS	ORSB1	TIMER	H	210	8ms
fPRISM_ORS	ORSB1	TIMER	TBD	211	24ms
fPRISM_ORS	ORSB1	TIMER	TBD	212	48ms
fPRISM_ORS	ORSB1	TIMER	TBD	213	64ms
GF_RMW_x5/xA	GF2X0	tRP	H/C	3001	16ns
GF_RMW_x5/xA	GF2X0	tRP	H/C	3011	18ns
GF_RMW_x5/xA	GF2X0	tRP	H/C	3021	20ns
GF_RMW_x5/xA	GF2X0	tRP	H/C	1001	16ns
GF_RMW_x5/xA	GF2X0	tRP	H/C	1002	18ns
GF_RMW_x5/xA	GF2X0	tRP	H/C	1003	20ns
HRS_(ECC_On)	BX7Y7	tDIST	H	4075	8ms
HRS_(ECC_On)	BX7Y7	tDIST	H	4076	24ms
HRS_(ECC_On)	BX7Y7	tDIST	H	4077	48ms
HRS_(ECC_On)	BX7Y7	tDIST	H	4078	64ms
HRS2_(ECC_On)	BX8Y1	TMRS	H	279	VPPDN12
HRS2_(ECC_On)	BX8Y2	TMRS	H	280	VBB2UP12
HRS2_(ECC_On)	BX8Y3	TMRS	H	281	VPPDN1VBB2UP1
HRS2_(ECC_On)	BX8Y4	TMRS	H	282	VPPUP12
HRS2_(ECC_On)	BX8Y5	TMRS	H	283	VBB2DN12
HRS2_(ECC_On)	BX8Y6	TMRS	H	284	VPPUP12VBB2DN12
INTT_ROW_D1	BFC37	TBD	H	1233	TBD
MBBDUP_(BBD0)	BI9M1	tDIST	H	3005	40ms
MBBDUP_(BBD0)	BI9M1	tDIST	H	3015	48ms
MBBDUP_(BBD0)	BI9M1	tDIST	H	3025	56ms
ROW_NEW_TC	RROV2	TBD	H	1230	TBD
SBD	B89W0	tDIST	H	3004	160ms
SBD	B89W0	tDIST	H	3014	200ms
SBD	B89W0	tDIST	H	3024	240ms
STATIC_D0	BX531	tPause	H	3003	40ms
STATIC_D0	BX531	tPause	H	3013	48ms
STATIC_D0	BX531	tPause	H	3023	56ms
STATIC_D1	BX531	tPause	H	3002	40ms
STATIC_D1	BX531	tPause	H	3012	48ms
STATIC_D1	BX531	tPause	H	3022	56ms
WALTZ_x9999	B8BP1	TBD	H	1251	TBD
