DO	HB	NB	V43	run	wf	x	y	test
1	6	0	4122	PCI033	4	53	51	0
3	6	0	3190	PCI033	7	19	42	0
2	6	0	4122	PCI033	4	52	53	0
4	6	2398	3190	PCI033	7	20	40	0
1	6	0	3190	PCI033	4	29	61	0
3	6	3003	3190	PCI033	7	49	40	0
2	6	0	3190	PCI033	4	27	61	0
4	6	0	4122	PCI033	7	50	42	0
1	6	0	3190	PCI033	4	24	37	0
3	6	1636	3190	PCI033	7	49	57	0
2	6	0	4122	PCI033	4	27	36	0
4	6	0	3190	PCI033	7	48	58	0
1	6	0	3190	PCI033	5	43	50	0
3	6	1636	3190	PCI033	9	26	45	0
2	6	0	3190	PCI033	5	43	51	0
4	6	0	3190	PCI033	9	24	45	0
1	2	0	3190	PCI033	5	42	51	0
3	2	0	4122	PCI033	9	25	52	0
2	2	0	3190	PCI033	5	40	51	0
4	2	0	3190	PCI033	9	40	52	0
1	2	0	3190	PCI033	4	44	36	0
3	2	0	4122	PCI033	7	33	63	0
2	2	0	3190	PCI033	4	46	37	0
4	2	0	3190	PCI033	7	31	62	0
1	6	0	3190	PCI033	4	20	49	0
3	6	0	3190	PCI033	7	48	53	0
2	6	870	3190	PCI033	4	21	46	0
4	6	0	4122	PCI033	7	47	56	0
1	2	0	3190	PCI033	4	40	34	0
3	2	0	3190	PCI033	7	24	35	0
2	2	0	3190	PCI033	4	43	34	0
4	2	0	4122	PCI033	7	30	33	0
1	6	2682	3190	PCI033	5	37	52	0
3	6	0	4122	PCI033	9	23	50	0
2	6	0	4122	PCI033	5	34	50	0
4	6	0	3190	PCI033	9	26	50	0
1	2	0	3190	PCI033	4	22	37	0
3	2	0	3190	PCI033	7	52	44	0
2	2	0	3190	PCI033	4	25	36	0
4	2	0	4122	PCI033	7	53	47	0
1	6	0	3190	PCI033	5	36	46	0
3	6	0	3190	PCI033	9	34	53	0
2	6	2682	3190	PCI033	5	39	46	0
4	6	0	3190	PCI033	9	31	53	0
1	2	0	3190	PCI033	4	45	35	0
3	2	0	3190	PCI033	7	32	33	0
2	2	0	3190	PCI033	4	47	36	0
4	2	0	3190	PCI033	7	46	36	0
1	2	0	3190	PCI033	4	53	43	0
3	2	0	4122	PCI033	7	54	49	0
2	2	0	4122	PCI033	4	54	45	0
4	2	0	3190	PCI033	7	53	54	0
1	2	0	3190	PCI033	4	54	52	0
3	2	0	4122	PCI033	7	31	63	0
2	2	0	3190	PCI033	4	52	55	0
4	2	0	3190	PCI033	7	19	57	0
1	6	0	4122	PCI033	4	38	62	0
3	6	4002	3190	PCI033	7	23	37	0
2	6	0	3190	PCI033	4	33	63	0
4	6	0	3190	PCI033	7	25	36	0
1	6	0	4122	PCI033	4	40	33	0
3	6	0	3190	PCI033	9	44	47	0
2	6	0	3190	PCI033	4	45	34	0
4	6	1781	3190	PCI033	9	27	47	0
1	6	770	3190	PCI033	4	36	45	0
3	6	0	3190	PCI033	7	29	49	0
2	6	0	4122	PCI033	4	38	45	0
4	6	0	3190	PCI033	7	29	48	0
1	2	0	3190	PCI033	4	51	57	0
3	2	0	3190	PCI033	7	17	52	0
2	2	0	3190	PCI033	4	47	59	0
4	2	0	4122	PCI033	7	16	50	0
1	6	1322	4122	PCI033	4	40	61	0
3	6	0	4122	PCI033	9	46	43	0
2	6	0	3190	PCI033	4	29	63	0
4	6	0	3190	PCI033	9	43	43	0
1	2	0	3190	PCI033	4	47	35	0
3	2	0	3190	PCI033	9	23	47	0
2	2	0	3190	PCI033	4	49	36	0
4	2	0	4122	PCI033	9	43	46	0
1	6	0	3190	PCI033	4	42	46	0
3	6	2398	3190	PCI033	7	30	47	0
2	6	0	3190	PCI033	4	42	47	0
4	6	0	3190	PCI033	7	33	47	0
1	2	0	3190	PCI033	4	51	39	0
3	2	0	3190	PCI033	7	53	43	0
2	2	0	3190	PCI033	4	52	41	0
4	2	0	4122	PCI033	7	54	46	0
1	8	835	0	W0A000	0	0	0	0
3	8	835	0	W0A000	0	0	0	0
2	8	835	0	PCI033	4	17	55	0
4	8	835	0	W0A000	0	0	0	0
1	2	0	4122	PCI033	4	32	32	0
3	2	0	3190	PCI033	9	47	47	0
2	2	0	4122	PCI033	4	34	32	0
4	2	0	3190	PCI033	9	45	47	0
1	2	0	3190	PCI033	4	42	48	0
3	2	0	3190	PCI033	7	35	47	0
2	2	0	3190	PCI033	4	39	49	0
4	2	0	4122	PCI033	7	38	47	0
1	6	0	3190	PCI033	4	45	59	0
3	6	770	3190	PCI033	7	16	47	0
2	6	0	4122	PCI033	4	43	59	0
4	6	0	3190	PCI033	7	18	42	0
1	8	0	0	W0A000	0	0	0	0
3	8	0	0	W0A000	0	0	0	0
2	8	0	0	W0A000	0	0	0	0
4	8	0	0	W0A000	0	0	0	0
1	2	0	3190	PCI033	4	16	45	0
3	2	0	3190	PCI033	9	43	41	0
2	2	0	3190	PCI033	4	23	36	0
4	2	0	3190	PCI033	7	31	64	0
1	2	0	3190	PCI033	4	28	49	0
3	2	0	3190	PCI033	7	31	49	0
2	2	0	3190	PCI033	4	28	48	0
4	2	0	3190	PCI033	7	30	49	0
1	2	0	3190	PCI033	4	41	37	0
3	2	0	3190	PCI033	7	21	55	0
2	2	0	4122	PCI033	4	42	37	0
4	2	0	4122	PCI033	7	20	53	0
1	7	0	0	PCI033	4	48	60	0
3	7	801	0	PCI033	9	43	44	0
2	7	0	0	PCI033	4	45	60	0
4	7	0	0	PCI033	9	45	44	0
1	2	0	4122	PCI033	4	42	39	0
3	2	0	3190	PCI033	7	22	51	0
2	2	0	3190	PCI033	4	46	41	0
4	2	0	4122	PCI033	7	21	47	0
1	2	0	4122	PCI033	4	32	37	0
3	2	0	3190	PCI033	7	23	56	0
2	2	0	3190	PCI033	4	34	37	0
4	2	0	4122	PCI033	7	22	55	0
1	6	0	3091	PCI033	4	23	57	0
3	6	0	3190	PCI033	7	49	53	0
2	6	1782	3190	PCI033	4	21	56	0
4	6	0	4122	PCI033	7	47	57	0
1	8	0	0	W0A000	0	0	0	0
3	8	0	0	W0A000	0	0	0	0
2	8	0	0	W0A000	0	0	0	0
4	8	0	0	W0A000	0	0	0	0
1	2	0	3190	PCI033	4	23	54	0
3	2	0	4122	PCI033	7	36	58	0
2	2	0	3190	PCI033	4	23	52	0
4	2	0	3190	PCI033	7	29	55	0
1	2	0	3190	PCI033	4	36	37	0
3	2	0	3190	PCI033	7	21	53	0
2	2	0	3190	PCI033	4	38	37	0
4	2	0	4122	PCI033	7	21	51	0
1	2	0	3190	PCI033	4	28	33	0
3	2	0	4122	PCI033	9	33	50	0
2	2	0	4122	PCI033	4	31	32	0
4	2	0	3190	PCI033	9	47	50	0
1	8	0	0	W0A000	0	0	0	0
3	8	0	0	W0A000	0	0	0	0
2	8	0	0	W0A000	0	0	0	0
4	8	0	0	W0A000	0	0	0	0
1	6	0	3190	PCI033	4	22	55	0
3	6	0	3190	PCI033	7	47	55	0
2	6	0	4122	PCI033	4	21	52	0
4	6	1782	3190	PCI033	7	46	56	0
1	2	0	3190	PCI033	4	46	40	0
3	2	0	3190	PCI033	7	22	41	0
2	2	0	3190	PCI033	4	48	41	0
4	2	0	3190	PCI033	7	24	40	0
1	6	0	3190	PCI033	4	48	53	0
3	6	0	4122	PCI033	7	22	44	0
2	6	2398	3190	PCI033	4	45	54	0
4	6	0	3190	PCI033	7	23	42	0
1	8	863	0	W0A000	0	0	0	0
3	8	863	0	W0A000	0	0	0	0
2	8	863	0	W0A000	0	0	0	0
4	8	863	0	W0A000	0	0	0	0
1	2	0	3190	PCI033	4	20	50	0
3	2	0	3190	PCI033	7	44	57	0
2	2	0	3190	PCI033	4	20	48	0
4	2	0	3190	PCI033	7	41	58	0
1	6	0	4122	PCI033	4	47	50	0
3	6	4565	4122	PCI033	7	36	57	0
2	6	0	4122	PCI033	4	47	52	0
4	6	0	4122	PCI033	7	30	55	0
1	2	0	3190	PCI033	4	33	60	0
3	2	0	3190	PCI033	7	49	44	0
2	2	0	4122	PCI033	4	31	60	0
4	2	0	4122	PCI033	7	50	47	0
1	8	0	0	PCI033	4	25	56	0
3	8	0	0	PCI033	7	48	50	0
2	8	0	0	PCI033	4	22	54	0
4	8	863	0	W0A000	0	0	0	0
1	2	0	3190	PCI033	4	48	55	0
3	2	0	3190	PCI033	7	41	39	0
2	2	0	4122	PCI033	4	46	55	0
4	2	0	3190	PCI033	7	44	40	0
1	2	0	3190	PCI033	4	32	57	0
3	2	0	4122	PCI033	7	45	55	0
2	2	0	3190	PCI033	4	25	55	0
4	2	0	4122	PCI033	7	39	57	0
1	2	0	3190	PCI033	4	47	58	0
3	2	0	3190	PCI033	7	19	41	0
2	2	0	4122	PCI033	4	45	58	0
4	2	0	3190	PCI033	7	23	38	0
