site	CL	Q	A
화성	CL4	Q1	현재 만족하고 있고, 이동할 계획도 없다.
화성	CL2	Q1	회사 내 평균 수준이라고 생각한다.
온양	CL4	Q1	현재 만족하고 있고, 이동할 계획도 없다.
화성	CL4	Q1	회사 내 평균 수준이라고 생각한다.
화성	CL4	Q1	현재 만족하고 있고, 이동할 계획도 없다.
화성	CL2	Q1	회사 내 평균 수준이라고 생각한다.
온양	CL2	Q1	회사 내 평균 수준이라고 생각한다.
화성	CL3	Q1	부서 이동 계획은 없지만, 큰 매력을 느끼지 못하고 있다.
온양	CL2	Q1	부서 이동 계획은 없지만, 큰 매력을 느끼지 못하고 있다.
화성	CL4	Q1	현재 만족하고 있고, 이동할 계획도 없다.
화성	CL2	Q1	부서 이동 계획은 없지만, 큰 매력을 느끼지 못하고 있다.
화성	CL2	Q1	회사 내 평균 수준이라고 생각한다.
온양	CL3	Q1	회사 내 평균 수준이라고 생각한다.
화성	CL2	Q1	잡포스팅, 이직 등 구체적인 부서 이동 계획이 있다.
화성	CL3	Q1	부서 이동 계획은 없지만, 큰 매력을 느끼지 못하고 있다.
화성	CL2	Q1	부서 이동 계획은 없지만, 큰 매력을 느끼지 못하고 있다.
화성	CL2	Q1	부서 이동 계획은 없지만, 큰 매력을 느끼지 못하고 있다.
화성	CL4	Q1	부서 이동 계획은 없지만, 큰 매력을 느끼지 못하고 있다.
화성	CL4	Q1	현재 만족하고 있고, 이동할 계획도 없다.
화성	CL4	Q1	회사 내 평균 수준이라고 생각한다.
화성	CL2	Q1	회사 내 평균 수준이라고 생각한다.
화성	CL3	Q1	회사 내 평균 수준이라고 생각한다.
온양	CL3	Q1	회사 내 평균 수준이라고 생각한다.
화성	CL3	Q1	부서 이동 계획은 없지만, 큰 매력을 느끼지 못하고 있다.
화성	CL2	Q1	회사 내 평균 수준이라고 생각한다.
온양	CL3	Q1	회사 내 평균 수준이라고 생각한다.
화성	CL4	Q1	부서 이동 계획은 없지만, 큰 매력을 느끼지 못하고 있다.
화성	CL4	Q1	회사 내 평균 수준이라고 생각한다.
화성	CL2	Q1	현재 만족하고 있고, 이동할 계획도 없다.
화성	CL4	Q1	매우 만족하고 있고, 타 부서 사람들에게도 자기 부서를 추천할 의향이 있다.
화성	CL2	Q1	부서 이동 계획은 없지만, 큰 매력을 느끼지 못하고 있다.
온양	CL3	Q1	회사 내 평균 수준이라고 생각한다.
온양	CL2	Q1	회사 내 평균 수준이라고 생각한다.
온양	CL4	Q1	매우 만족하고 있고, 타 부서 사람들에게도 자기 부서를 추천할 의향이 있다.
화성	CL2	Q1	부서 이동 계획은 없지만, 큰 매력을 느끼지 못하고 있다.
화성	CL3	Q1	부서 이동 계획은 없지만, 큰 매력을 느끼지 못하고 있다.
온양	CL4	Q1	부서 이동 계획은 없지만, 큰 매력을 느끼지 못하고 있다.
화성	CL3	Q1	현재 만족하고 있고, 이동할 계획도 없다.
온양	CL2	Q1	현재 만족하고 있고, 이동할 계획도 없다.
화성	CL4	Q1	현재 만족하고 있고, 이동할 계획도 없다.
화성	CL4	Q1	현재 만족하고 있고, 이동할 계획도 없다.
화성	CL3	Q1	부서 이동 계획은 없지만, 큰 매력을 느끼지 못하고 있다.
화성	CL2	Q1	회사 내 평균 수준이라고 생각한다.
화성	CL3	Q1	부서 이동 계획은 없지만, 큰 매력을 느끼지 못하고 있다.
화성	CL2	Q1	부서 이동 계획은 없지만, 큰 매력을 느끼지 못하고 있다.
화성	CL3	Q1	부서 이동 계획은 없지만, 큰 매력을 느끼지 못하고 있다.
온양	CL2	Q1	회사 내 평균 수준이라고 생각한다.
